Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.47746       25.299       27.000       1800.0       1.1690       1.7645       338.00      0.50000     -0.70356E-01  -4.6967     -0.37325       1.8024    
  2  0.42972       25.299       27.000       2000.0       1.1690       1.7645       338.00      0.50000      0.13960       2.4156      0.66656      0.46719    
  3  0.39065       25.299       27.000       2200.0       1.1690       1.7645       338.00      0.50000      0.40035       10.857       1.7378      0.73218    
  4  0.35810       25.299       27.000       2400.0       1.1690       1.7645       338.00      0.50000      0.71551       20.656       2.8469      0.77948    
  5  0.33055       25.299       27.000       2600.0       1.1690       1.7645       338.00      0.50000       1.0897       31.868       4.0021      0.78963    
  6  0.30694       25.299       27.000       2800.0       1.1690       1.7645       338.00      0.50000       1.5277       44.546       5.2103      0.78726    
  7  0.28648       25.299       27.000       3000.0       1.1690       1.7645       338.00      0.50000       2.0350       58.743       6.4775      0.77941    
  8  0.26857       25.299       27.000       3200.0       1.1690       1.7645       338.00      0.50000       2.6167       74.511       7.8086      0.76884    
  9  0.25278       25.299       27.000       3400.0       1.1690       1.7645       338.00      0.50000       3.2785       91.899       9.2079      0.75684    
 10  0.23873       25.299       27.000       3600.0       1.1690       1.7645       338.00      0.50000       4.0260       110.95       10.679      0.74409    
 11  0.22617       25.299       27.000       3800.0       1.1690       1.7645       338.00      0.50000       4.8654       131.72       12.227      0.73097    
 12  0.21486       25.299       27.000       4000.0       1.1690       1.7645       338.00      0.50000       5.8026       154.25       13.853      0.71772    
 13  0.20463       25.299       27.000       4200.0       1.1690       1.7645       338.00      0.50000       6.8439       178.57       15.561      0.70448    
 14  0.19533       25.299       27.000       4400.0       1.1690       1.7645       338.00      0.50000       7.9960       204.74       17.354      0.69135    
 15  0.18683       25.299       27.000       4600.0       1.1690       1.7645       338.00      0.50000       9.2655       232.80       19.235      0.67839    
 16  0.17905       25.299       27.000       4800.0       1.1690       1.7645       338.00      0.50000       10.660       262.79       21.207      0.66564    
 17  0.17189       25.299       27.000       5000.0       1.1690       1.7645       338.00      0.50000       12.185       294.77       23.272      0.65313    
 18  0.16528       25.299       27.000       5200.0       1.1690       1.7645       338.00      0.50000       13.851       328.76       25.436      0.64088    
 19  0.15915       25.299       27.000       5400.0       1.1690       1.7645       338.00      0.50000       15.664       364.84       27.699      0.62889    
 20  0.15347       25.299       27.000       5600.0       1.1690       1.7645       338.00      0.50000       17.632       403.04       30.067      0.61717    
 21  0.14818       25.299       27.000       5800.0       1.1690       1.7645       338.00      0.50000       19.766       443.42       32.543      0.60572    
 22  0.14324       25.299       27.000       6000.0       1.1690       1.7645       338.00      0.50000       22.073       486.04       35.130      0.59454    
 23  0.13862       25.299       27.000       6200.0       1.1690       1.7645       338.00      0.50000       24.564       530.97       37.834      0.58362    
 24  0.13429       25.299       27.000       6400.0       1.1690       1.7645       338.00      0.50000       27.250       578.26       40.660      0.57295    
 25  0.13022       25.299       27.000       6600.0       1.1690       1.7645       338.00      0.50000       30.145       628.00       43.616      0.56248    
 26  0.12639       25.299       27.000       6800.0       1.1690       1.7645       338.00      0.50000       33.269       680.23       46.720      0.55205    
 27  0.12278       25.299       27.000       7000.0       1.1690       1.7645       338.00      0.50000       36.651       735.04       49.999      0.54149    
 28  0.11937       25.299       27.000       7200.0       1.1690       1.7645       338.00      0.50000       40.329       792.47       53.488      0.53055    
 29  0.11614       25.299       27.000       7400.0       1.1690       1.7645       338.00      0.50000       44.354       852.58       57.237      0.51900    
 30  0.11308       25.299       27.000       7600.0       1.1690       1.7645       338.00      0.50000       48.790       915.43       61.305      0.50659    
 31  0.11018       25.299       27.000       7800.0       1.1690       1.7645       338.00      0.50000       53.718       981.07       65.765      0.49311    
 32  0.10743       25.299       27.000       8000.0       1.1690       1.7645       338.00      0.50000       59.236       1049.5       70.707      0.47838    
 33  0.10481       25.299       27.000       8200.0       1.1690       1.7645       338.00      0.50000       65.449       1120.7       76.218      0.46232    
 34  0.10231       25.299       27.000       8400.0       1.1690       1.7645       338.00      0.50000       72.410       1194.0       82.318      0.44520    
 35  0.99934E-01   25.299       27.000       8600.0       1.1690       1.7645       338.00      0.50000       79.980       1267.7       88.808      0.42795    
 36  0.97663E-01   25.299       27.000       8800.0       1.1690       1.7645       338.00      0.50000       87.717       1338.8       95.186      0.41209    
 37  0.95493E-01   25.299       27.000       9000.0       1.1690       1.7645       338.00      0.50000       95.494       1406.4       101.32      0.39766    
